guideId,routeId,source,terminus,contributorId,fareKsh,bestTimeOfDay,timingReason,stepsCount,warnings,tags,guideNarrative
"009IVYf4injviGFdBkcM","009IVYf4injviGFdBkcM","","","ZOEm6ZTolMTdZdHSf3dImu0XQUA2","30","MIDDAY","",3,"",RELIABLE,"Go to archives along moi avenue | Board matatu going to Westlands or Safaricom to Kangemi | Alight at westland roundabout."
"5AVh3fvDTEUsxCpiezHu","5AVh3fvDTEUsxCpiezHu","","","3jXkw4arzmQBPR0Dduq0TPbdaFm2","100","EVENING_RUSH","",2,"Super Metro charge more than Enabled",,"Go to Ronald gala st and mfangano junction | Board Enabled or Super Metro buses"
"AEHo1wXzzEtxRDfvSL4P","AEHo1wXzzEtxRDfvSL4P","","","7H8o6zGHjFTuS31fEq7hczRAjmi2","100","EVENING_RUSH","use this as from 6pm if you don't want to queue but also nkt tajt matatu dont get filled up fast.",2,"if you hate queueing don't board between 5pm and 6pm. Use this if you are not stopping on cbd",AVOID_CBD,"Go to wastlands roundabout near westland square | Board matatu going to Donholm/Fedha"
"APGGQ5pU1gha6T6ctPWR","APGGQ5pU1gha6T6ctPWR","","","9rEWySaLkoVCXDMyZo3XpBmW1Gm1","100","ANYTIME","",2,"",AVOID_CBD,"Go to westlands roundabout opposite Westlands Square | Ask for matau heading to pipeline"
"Lp3CAQLw7pjm79twqSno","Lp3CAQLw7pjm79twqSno","","","kdLwRdSdTmUVyiiiFCPysxTnPgs2","50","MORNING_RUSH","few people",3,"Ask before joining queue",,"Go to supametro beside archives | Ask for kikuyu buses | Queue if there is and board"
"RNbPqmxMJC80mA38bO0S","RNbPqmxMJC80mA38bO0S","","","pZKCVx2QQXNRxZgwKWakK2iUEYW2","100","ANYTIME","Taking matatu along the highway is fastest compared to boarding on stage.",2,"This is not the safest because you have to cross a highway without zebra crossing or footbridge.",RELIABLE|LESS_CROWDED,"Cross the highway | Board matatu heading"
"TBYEMMGSPvChiE1xz1zp","TBYEMMGSPvChiE1xz1zp","","","79uOYU4MmTgMUEcEOkzS03chvOk1","100","ANYTIME","",3,"During weekdays between 6pm to 7pm it's quite crowded with no vehicles",,"Go to Imenti House | Ask for Kasarani Buses e.g Metro Trans, | Board vehicle"
"XKQ5hOIxejjOIksZ1j4x","XKQ5hOIxejjOIksZ1j4x","","","3jXkw4arzmQBPR0Dduq0TPbdaFm2","70","MIDDAY","",3,"",CHEAP|LESS_CROWDED,"Go to Kcb building opposite archives | Board Metro Trans buses | Confirm if they are heading to Karen"
"ZrmkVS9u66R2G72vQf8f","ZrmkVS9u66R2G72vQf8f","","","ZOEm6ZTolMTdZdHSf3dImu0XQUA2","30","MIDDAY","",3,"",RELIABLE,"Go to archives along moi avenue | Board matatu going to Westlands or Safaricom to Kangemi | Alight at westland roundabout."
"wPMfIDIbRHh4184bnPto","wPMfIDIbRHh4184bnPto","","","eYHWlG02deOEwys3otOEYh8nhFi2","60","ANYTIME","",3,"",CHEAP|RELIABLE,"Go to Stage opposite to Odeon building | Look for Kasarani buses | Tell the conductor to alight you at TRM"
"y5NPvFFaiiJUC1mxHHpy","y5NPvFFaiiJUC1mxHHpy","","","9UFBLGAba4ZpSkgxRLBQXsG1YzU2","30","EVENING_RUSH","Matatus take less time to leave the stage",1,"",FAST,"Go behind Thika stadium and find a ride"
